timestamp_iso,timestamp_ms,overall_cpu_pct,load1,load5,load15,burning,workers,cpu0_pct,cpu1_pct,cpu2_pct,cpu3_pct,freq0_khz,freq1_khz,freq2_khz,freq3_khz,temp0_c,voltage_v,current_a,power_w,voltage_raw,current_raw,power_raw
2025-09-29T13:37:49.339032,1759153069339,91,3.92822265625,2.9306640625,2.1005859375,1,6,91,89,91,92,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.367,216,20607,63667
2025-09-29T13:37:49.845557,1759153069845,91,3.92822265625,2.9306640625,2.1005859375,1,6,90,91,91,93,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.367,216,20607,63667
2025-09-29T13:37:50.341560,1759153070341,94,3.92822265625,2.9306640625,2.1005859375,1,6,93,96,94,93,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.367,216,20607,63667
2025-09-29T13:37:50.842619,1759153070842,94,3.92822265625,2.9306640625,2.1005859375,1,6,100,94,98,84,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.367,216,20607,63667
2025-09-29T13:37:51.343477,1759153071343,90,3.92822265625,2.9306640625,2.1005859375,1,6,91,91,91,89,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.367,216,20607,63667
2025-09-29T13:37:51.845250,1759153071845,93,3.92822265625,2.9306640625,2.1005859375,1,6,94,94,93,93,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.367,216,20607,63666
2025-09-29T13:37:52.346440,1759153072346,91,3.92822265625,2.9306640625,2.1005859375,1,6,91,89,93,89,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.367,216,20607,63666
2025-09-29T13:37:52.849316,1759153072849,91,3.92822265625,2.9306640625,2.1005859375,1,6,88,93,91,90,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.367,216,20607,63666
2025-09-29T13:37:53.350416,1759153073350,89,3.92822265625,2.9306640625,2.1005859375,1,6,92,91,89,86,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.367,216,20607,63666
2025-09-29T13:37:53.851008,1759153073851,89,4.25439453125,3.01513671875,2.13232421875,1,6,92,88,90,88,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.367,216,20607,63666
2025-09-29T13:37:54.351991,1759153074351,89,4.25439453125,3.01513671875,2.13232421875,1,6,87,91,86,91,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.367,216,20607,63666
